
例えば僕ら二人　煌めく映画のように,たとえばぼくらふたりきらめくえいがのように
出会いなおせたらどうしたい,であいなおせたらどうしたい
何も謎めいてない　今日は昨日の続き,なにもなぞめいてないきょうはきのうのつづき
日々は続くただぼんやり,ひびはつづくただぼんやり
微かな足音　シーツの置く場所,かすかなあしおとしーつのおくばしょ
それだけで全てわかってしまうよ,それだけですべてわかってしまうよ
見え透いた嘘も隠した本当も,みえすいたうそもかくしたほんとうも
その全て愛おしかった,そのすべていとおしかった
レディー　笑わないで聞いて,れでぃーわらわないできいて
ハニー　見つめ合っていたくて,はにーみつめあっていたくて
君と二人　行ったり来たりしたいだけ,きみとふたりいったりきたりしたいだけ
ベイビー　子供みたいに恋がしたい,べいびーこどもみたいにこいがしたい
書き散らしていく僕らのストーリーライン,かきちらしていくぼくらのすとーりーらいん
例えばどっちか一人　ひどい不幸が襲い,たとえばどっちかひとりひどいふこうがおそい
二度と会えなくなったら,にどとあえなくなったら
考えた矢先に　泣けてしまうくらい,かんがえたやさきになけてしまうくらい
日々は続く一層確かに,ひびはつづくいっそうたしかに
いつもの暗い顔　チープな戯言,いつものくらいかおちーぷなざれごと
見過ごすようにまた優しいんだろう,みすごすようにまたやさしいんだろう
見え透いた嘘も隠した本当も,みえすいたうそもかくしたほんとうも
その目から伝わってきた,そのめからつたわってきた
引っ張ったり噛みついたり　傷ついたふりしてみたり,ひっぱったりかみついたりきずついたふりしてみたり
明日の朝に持ち越したり　浮ついたりして,あすのあさにもちこしたりうわついたりして
思いきり傷つきたい　いつまでもそばにいたい,おもいきりきずつきたいいつまでもそばにいたい
今すぐ行方をくらまそう,いますぐゆくえをくらまそう
レディー　何も言わないで,れでぃーなにもいわないで
ハニー　僕の手を取ってくれ,はにーぼくのてをとってくれ
君以外に　考えられないだけ,きみいがいにかんがえられないだけ
ベイビー　あの頃みたいに恋がしたい,べいびーあのころみたいにこいがしたい
書き散らしていく　踊り続ける,かきちらしていくおどりつづける
レディー　笑わないで聞いて,れでぃーわらわないできいて
ハニー　見つめ合っていたくて,はにーみつめあっていたくて
君と二人　行ったり来たりしたいだけ,きみとふたりいったりきたりしたいだけ
ベイビー　子供みたいに恋がしたい,べいびーこどもみたいにこいがしたい
書き散らしていく僕らのストーリーライン,かきちらしていくぼくらのすとーりーらいん
